ObservationDate,State,Region,LastUpdate,Confirmed,Deaths,Recovered
1/1/2021,Abruzzo,Italy,4/2/2021 15:13,35723,1218,23132
1/1/2021,Acre,Brazil,4/2/2021 15:13,41689,796,33670
1/1/2021,Adygea Republic,Russia,4/2/2021 15:13,11103,92,9085
1/1/2021,Aguascalientes,Mexico,4/2/2021 15:13,17021,1371,0
1/1/2021,Aichi,Japan,4/2/2021 15:13,16764,213,13596
1/1/2021,Akita,Japan,4/2/2021 15:13,143,1,100
1/1/2021,Alabama,US,4/2/2021 15:13,365747,4872,0
1/1/2021,Alagoas,Brazil,4/2/2021 15:13,105091,2496,99710
1/1/2021,Alaska,US,4/2/2021 15:13,47019,206,0
1/1/2021,Alberta,Canada,4/2/2021 15:13,100428,1046,84827
2/1/2021,Abruzzo,Italy,4/2/2021 15:13,43007,1470,31101
2/1/2021,Acre,Brazil,4/2/2021 15:13,48820,873,40155
2/1/2021,Adygea Republic,Russia,4/2/2021 15:13,13082,119,11204
2/1/2021,Aguascalientes,Mexico,4/2/2021 15:13,21065,1735,0
2/1/2021,Aichi,Japan,4/2/2021 15:13,24126,402,21014
2/1/2021,Akita,Japan,4/2/2021 15:13,261,1,212
2/1/2021,Alabama,US,4/2/2021 15:13,460860,7688,0
2/1/2021,Alagoas,Brazil,4/2/2021 15:13,118220,2754,113185
2/1/2021,Alaska,US,4/2/2021 15:13,54457,262,0
2/1/2021,Alberta,Canada,4/2/2021 15:13,124563,1649,115527
3/1/2021,Abruzzo,Italy,4/2/2021 15:13,54664,1709,39844
3/1/2021,Acre,Brazil,4/2/2021 15:13,57894,1012,46623
3/1/2021,Adygea Republic,Russia,4/2/2021 15:13,13791,149,12221
3/1/2021,Aguascalientes,Mexico,4/2/2021 15:13,23102,1997,0
3/1/2021,Aichi,Japan,4/2/2021 15:13,25921,519,24655
3/1/2021,Akita,Japan,4/2/2021 15:13,269,6,260
3/1/2021,Alabama,US,4/2/2021 15:13,493769,9931,0
3/1/2021,Alagoas,Brazil,4/2/2021 15:13,132245,3010,125848
3/1/2021,Alaska,US,4/2/2021 15:13,58681,300,0
3/1/2021,Alberta,Canada,4/2/2021 15:13,133795,1888,127233
4/1/2021,Abruzzo,Italy,4/2/2021 15:13,65508,2145,53222
4/1/2021,Acre,Brazil,4/2/2021 15:13,69988,1269,54045
4/1/2021,Adygea Republic,Russia,4/2/2021 15:13,14109,163,13393
4/1/2021,Aguascalientes,Mexico,4/2/2021 15:13,24931,2158,0
4/1/2021,Aichi,Japan,4/2/2021 15:13,27477,581,26034
4/1/2021,Akita,Japan,4/2/2021 15:13,285,6,271
4/1/2021,Alabama,US,4/2/2021 15:13,515866,10553,0
4/1/2021,Alagoas,Brazil,4/2/2021 15:13,154199,3576,146077
4/1/2021,Alaska,US,4/2/2021 15:13,63298,313,0
4/1/2021,Alberta,Canada,4/2/2021 15:13,149207,1994,138560
5/1/2021,Abruzzo,Italy,5/2/2021 4:20,71444,2408,60457
5/1/2021,Acre,Brazil,5/2/2021 4:20,78016,1534,63251
5/1/2021,Adygea Republic,Russia,5/2/2021 4:20,14432,174,13876
5/1/2021,Aguascalientes,Mexico,5/2/2021 4:20,26060,2372,0
5/1/2021,Aichi,Japan,5/2/2021 4:20,33879,622,29456
5/1/2021,Akita,Japan,5/2/2021 4:20,480,9,374
5/1/2021,Alabama,US,5/2/2021 4:20,528309,10913,0
5/1/2021,Alagoas,Brazil,5/2/2021 4:20,174476,4240,164593
5/1/2021,Alaska,US,5/2/2021 4:20,68148,347,0
5/1/2021,Alberta,Canada,5/2/2021 4:20,193167,2083,168580
5/1/2021,Altai Krai,Russia,5/2/2021 4:20,49741,2069,44660
5/1/2021,Altai Republic,Russia,5/2/2021 4:20,16815,239,16515
